제목,태그,이용 연령,작가,요일,평균 평점,선호작 수
칼끝에 입술,#계약연애#걸크러시#로판#로맨스#직진남#선결혼후연애#계략여주,0,"핀쿠,뫄과,윤",일요웹툰,9.962,172670
사형소년,#사이다#스릴러,15,"그림,김숭늉,일요웹",일요웹툰,9.498,322843
"이러면 안 돼요, 전하!",#소설원작#걸크러시#회귀#로맨스#로판,0,"안진애,우라노스,최아",목요웹툰,9.969,62764
랑데뷰,#드라마#감성드라마,15,제,일요웹툰,9.958,121769
킬더킹,#드라마#두뇌싸움,0,"joana,마사토",목요웹툰,9.928,71205
나이트런,#sf#다크판타지#판타지,15,김성,토요웹툰,9.807,242825
주인공의 주식을 팝니다,#로맨스#로판#소설원작,0,"가얌,50,목감",일요웹툰,9.918,37002
내일,#드라마#감성드라마#드라마&영화 원작웹툰#사이다,0,라,일요웹툰,9.961,561909
비밀친구,#두뇌싸움#서스펜스#2021 지상최대공모전#복수극#스릴러,15,"이밤애,사바",금요웹툰,9.828,28950
판사 이한영,#직업드라마#소설원작#법정드라마#회귀#드라마,15,"이해날,문성호,전돌",일요웹툰,9.959,147260
놓지마 정신줄 시즌3,#개그#드라마&영화 원작웹툰,0,"신태훈,나승","화, 토 연재",9.962,115958
내게 필요한 NO맨스,#로맨스#2019 지상최대공모전#연예계#역하렘,0,마그네,토요웹툰,9.908,218609
윈드브레이커,#스포츠#스포츠성장,12,조용,월요웹툰,9.836,1141776
자매전쟁,#드라마#학원로맨스#계략여주#복수극,12,기맹,일요웹툰,9.929,290804
내게 종말은 게임이다,#소설원작#인플루언서#먼치킨#아포칼립스#판타지#인외존재#게임판타지,15,"HOOPA,최우",일요웹툰,9.902,37795
뮤즈 온 유명,#하이퍼리얼리즘#재회#드라마#2030연애#청춘로맨스#전남친#연예계,15,수,목요웹툰,9.922,199160
멸망 이후의 세계,#소설원작#아포칼립스#판타지#레드아이스 스튜디오#차원이동,15,"S-Cynan,싱숑,언데드 감",화요웹툰,9.791,298857
굿헌팅,#스릴러,15,"수요웹툰,심조,H",수요웹툰,9.898,18238
대위님! 이번 전쟁터는 이곳인가요?,#소설원작#걸크러시#로맨스#밀리터리#빙의#로판#차원이동,0,"비터버,리",금요웹툰,9.964,64741
언다잉,#스릴러,12,임목,금요웹툰,9.908,46180
악취해결사,#성장드라마#최강자전#학원물#2021 최강자전#드라마,0,샘,월요웹툰,9.944,21735
원수가 나를 유혹할 때,#로맨스#소설원작,0,"황비노,포롱,최서",화요웹툰,9.687,32285
나를 바꿔줘,#드라마,15,"호띠,이지",토요웹툰,9.957,245143
취사병 전설이 되다,#직업드라마#소설원작#판타지#밀리터리#음식&요리#게임판타지,0,"이진수,제이로",토요웹툰,9.584,417161
소녀재판,#드라마#2019 지상최대공모전#공감성수치,15,"보로콤,루즌",일요웹툰,9.962,372912
베니루 BAENIRU,#서스펜스#스릴러,15,우지,목요웹툰,9.912,52144
사기 친 공작님을 유혹해버렸다,#소설원작#로판#판타지,0,"쥐똥새똥,T.Heimdall",목요웹툰,9.931,38400
헬스던전,#4차원#이세계#먼치킨#사이다#액션,0,"도베도베,채",일요웹툰,9.878,34025
우리의 연애일지,#로맨스,0,오,수요웹툰,9.809,10432
호랑이형님,#세계관#동양풍판타지#판타지,15,이상,토요웹툰,9.173,863748
"저무는 해, 시린 눈",#드라마,0,MUR,토요웹툰,9.972,135165
격기3반,#환골탈태#스포츠#격투기,15,이,수요웹툰,7.34,279289
시선 끝 브로콜리,#드라마,0,모,토요웹툰,9.973,28634
시체기사 군터,#뱀파이어#다크판타지#액션#인외존재,15,마요너구,화요웹툰,9.901,68227
너와 XX,#현실로맨스#하이퍼리얼리즘#로맨스#2030연애,15,,목요웹툰,9.884,13404
노량진 공격대,#다크판타지#액션,12,"이리몽,잭",일요웹툰,9.709,23626
약빨이 신선함,#소설원작#판타지,15,"벤,아로,한",일요웹툰,9.915,55608
무림서부,#판무#소설원작#세계관#무협/사극#힘숨찐,15,"정한길,웨스트,컵라면",수요웹툰,9.942,55366
말숙이를 부탁해,#육아물#개그#2022 지상최대공모전,0,임규,수요웹툰,9.94,36144
칼에 취한 밤을 걷다,#판무#소설원작#세계관#사이다#무협/사극,15,"유진성,JP,송",수요웹툰,9.915,111703
밤마다 남편이 바뀐다,#소설원작#로맨스코미디#로맨스#2030연애#선결혼후연애#로판,0,"여슬기,구슬,한윤",일요웹툰,9.978,181007
천화서고 대공자,#소설원작#무협/사극,15,"MIDNIGHT STUDIO,김현영,12",일요웹툰,9.923,62221
메리의 불타는 행복회로,#드라마,0,김지,월요웹툰,9.932,38311
역대급 영지 설계사,#소년왕도물#소설원작#판타지,0,"김현수,문백경,이현",금요웹툰,9.972,333770
물위의 우리,#드라마#2020 최강자전#최강자전#아포칼립스,15,"뱁새,왈",토요웹툰,9.985,267075
퍼니게임,#스릴러,15,배진,월요웹툰,9.041,81495
디나운스,#드라마,12,윤,월요웹툰,9.523,25817
에브리띵 이즈 파인,#해외작품#스릴러,15,마이크 버,수요웹툰,9.978,83387
후덜덜덜 남극전자,#개그,0,김민,금요웹툰,7.907,48038
작전명 순정,#로맨스#2021 지상최대공모전#하이틴,0,"꼬까리,들",토요웹툰,9.964,609904
천년간 노려왔습니다,#로맨스,12,수,일요웹툰,9.925,27651
헬58,#액션#성인웹툰,18,장성,화요웹툰,9.698,129407
안미운 우리들,#캠퍼스로맨스#소꿉친구#현실로맨스#드라마#직진남#까칠남,15,지,수요웹툰,9.956,63984
국세청 망나니,#드라마#소설원작#직업드라마,0,"동면거북이,스튜디오웨이",목요웹툰,9.915,93207
퇴근 후에 만나요,#로맨스#소설원작,12,"햄친,로즈빈,박한",월요웹툰,9.923,36034
너에게 입덕중,#학원로맨스#로맨스,0,"새우,카",금요웹툰,9.923,16613
굿바이 유교보이,#계약연애#로맨스#직진남#2030연애#삼각관계#계략여주,15,아,월요웹툰,9.945,39855
돌&아이,#드라마#레드스트링#연예계,15,"송채윤,엔",일요웹툰,9.886,61155
주인님을 잡아먹는 방법,#로맨스#직진남#소설원작,15,"차혜영,세",화요웹툰,9.975,114470
